"Nome","email"
"Clara Azevedo Monteiro","docente001@ifce.edu.br"
"Rafael Nobre Siqueira","docente002@ifce.edu.br"
"Helena Duarte Campos","docente003@ifce.edu.br"
"Miguel Arantes Ribeiro","docente004@ifce.edu.br"
"Beatriz Lira Macedo","docente005@ifce.edu.br"
"Caio Teixeira Valente","docente006@ifce.edu.br"
"Livia Barbosa Correia","docente007@ifce.edu.br"
"Andre Moura Falcao","docente008@ifce.edu.br"
"Marina Sales Albuquerque","docente009@ifce.edu.br"
"Lucas Viana Peixoto","docente010@ifce.edu.br"
"Sofia Matos Cavalcante","docente011@ifce.edu.br"
"Gustavo Lima Noronha","docente012@ifce.edu.br"
"Isabela Rocha Tavares","docente013@ifce.edu.br"
"Daniel Pires Castelo","docente014@ifce.edu.br"
"Camila Reis Guimaraes","docente015@ifce.edu.br"
"Bruno Alencar Farias","docente016@ifce.edu.br"
"Laura Mendes Vasconcelos","docente017@ifce.edu.br"
"Felipe Castro Nogueira","docente018@ifce.edu.br"
"Ana Luiza Freire Batista","docente019@ifce.edu.br"
"Thiago Araujo Leitner","docente020@ifce.edu.br"
"Renata Martins Queiroz","docente021@ifce.edu.br"
"Eduardo Sena Amaral","docente022@ifce.edu.br"
"Paula Vieira Sampaio","docente023@ifce.edu.br"
"Diego Fontes Bezerra","docente024@ifce.edu.br"
"Juliana Prado Moreira","docente025@ifce.edu.br"
"Henrique Melo Pinheiro","docente026@ifce.edu.br"
"Carolina Braga Silveira","docente027@ifce.edu.br"
"Mateus Cunha Barreto","docente028@ifce.edu.br"
"Tatiana Nunes Araujo","docente029@ifce.edu.br"
"Fernando Gouveia Melo","docente030@ifce.edu.br"
"Alice Cardoso Brito","docente031@ifce.edu.br"
"Vitor Paiva Andrade","docente032@ifce.edu.br"
"Manuela Dantas Pacheco","docente033@ifce.edu.br"
"Rodrigo Assis Carvalho","docente034@ifce.edu.br"
"Priscila Teles Ferreira","docente035@ifce.edu.br"
"Igor Camara Lopes","docente036@ifce.edu.br"
"Raquel Furtado Leal","docente037@ifce.edu.br"
"Joao Victor Maia Santos","docente038@ifce.edu.br"
"Mariana Costa Bastos","docente039@ifce.edu.br"
"Samuel Torres Oliveira","docente040@ifce.edu.br"
"Bianca Holanda Nascimento","docente041@ifce.edu.br"
"Pedro Henrique Rangel","docente042@ifce.edu.br"
"Leticia Soares Lima","docente043@ifce.edu.br"
"Arthur Gomes Vieira","docente044@ifce.edu.br"
"Natalia Fraga Martins","docente045@ifce.edu.br"
"Cecilia Brandao Sousa","docente046@ifce.edu.br"
"Leonardo Tavares Lima","docente047@ifce.edu.br"
"Vanessa Pinho Azevedo","docente048@ifce.edu.br"
"Marcelo Neves Barros","docente049@ifce.edu.br"
"Aline Ribeiro Fonseca","docente050@ifce.edu.br"
"Otavio Correia Figueiredo","docente051@ifce.edu.br"
"Fernanda Queiroga Melo","docente052@ifce.edu.br"
"Ricardo Bastos Almeida","docente053@ifce.edu.br"
"Patricia Monteiro Leite","docente054@ifce.edu.br"
"Guilherme Farias Nascimento","docente055@ifce.edu.br"
"Larissa Campos Varela","docente056@ifce.edu.br"
"Fabio Holanda Duarte","docente057@ifce.edu.br"
"Mirela Siqueira Castro","docente058@ifce.edu.br"
"Vinicius Teixeira Cardoso","docente059@ifce.edu.br"
"Monica Barreto Araujo","docente060@ifce.edu.br"
"Ruan Maciel Lacerda","docente061@ifce.edu.br"
"Gabriela Pires Nogueira","docente062@ifce.edu.br"
"Leandro Sales Moreira","docente063@ifce.edu.br"
"Erica Diniz Carvalho","docente064@ifce.edu.br"
"Cesar Oliveira Brandao","docente065@ifce.edu.br"
"Tais Medeiros Rocha","docente066@ifce.edu.br"
"Murilo Bezerra Andrade","docente067@ifce.edu.br"
"Yasmin Araujo Peixoto","docente068@ifce.edu.br"
"Hugo Martins Vieira","docente069@ifce.edu.br"
"Luana Ferraz Almeida","docente070@ifce.edu.br"
"Roberto Macedo Pires","docente071@ifce.edu.br"
"Ester Falcao Duarte","docente072@ifce.edu.br"
"Nelson Sampaio Torres","docente073@ifce.edu.br"
"Bruna Carvalho Lins","docente074@ifce.edu.br"
"Alexandre Viana Rocha","docente075@ifce.edu.br"
"Ines Albuquerque Reis","docente076@ifce.edu.br"
"Davi Cavalcante Moreira","docente077@ifce.edu.br"
"Clarissa Nogueira Prado","docente078@ifce.edu.br"
"Sergio Fontes Valente","docente079@ifce.edu.br"
"Elisa Moura Batista","docente080@ifce.edu.br"
"Marcos Leal Correia","docente081@ifce.edu.br"
"Lorena Pinheiro Tavares","docente082@ifce.edu.br"
"Alan Pacheco Guimaraes","docente083@ifce.edu.br"
"Teresa Cardoso Farias","docente084@ifce.edu.br"
"Victor Hugo Reis Matos","docente085@ifce.edu.br"
"Noemi Dantas Silveira","docente086@ifce.edu.br"
"Renan Castelo Barbosa","docente087@ifce.edu.br"
"Sara Amaral Freire","docente088@ifce.edu.br"
"Paulo Nobre Maciel","docente089@ifce.edu.br"
"Diana Lacerda Cunha","docente090@ifce.edu.br"
"Antonio Gouveia Fraga","docente091@ifce.edu.br"
"Catarina Lopes Brandao","docente092@ifce.edu.br"
"Raul Figueiredo Sena","docente093@ifce.edu.br"
